date,open,high,low,close,volume,dividend,split
2023-07-06,30454.28,31493.99,29882.0,30309.16,0,0.0,1.0
2023-07-07,30309.2,30442.99,29707.72,30258.12,0,0.0,1.0
2023-07-08,30309.18,30380.8,30038.47,30152.21,0,0.0,1.0
2023-07-09,30152.21,30439.26,30109.0,30187.99,0,0.0,1.0
2023-07-10,30187.99,31039.76,29944.0,30773.0,0,0.0,1.0
2023-07-11,30773.0,30807.62,30184.18,30565.52,0,0.0,1.0
2023-07-12,30565.52,30969.12,30207.01,30341.99,0,0.0,1.0
2023-07-13,30341.99,31798.19,30245.5,31366.91,0,0.0,1.0
2023-07-14,31366.91,31622.55,29898.29,30183.18,0,0.0,1.0
2023-07-15,30256.65,30365.66,30244.99,30296.01,0,0.0,1.0
2023-07-16,30296.01,30434.02,30058.48,30265.64,0,0.0,1.0
2023-07-17,30265.64,30354.99,29654.12,29920.18,0,0.0,1.0
2023-07-18,29920.18,30278.78,29525.1,29771.99,0,0.0,1.0
2023-07-19,29771.99,30181.99,29748.47,29958.94,0,0.0,1.0
2023-07-20,29958.94,30411.45,29571.96,29733.72,0,0.0,1.0
2023-07-21,29733.72,30053.99,29720.34,29874.0,0,0.0,1.0
2023-07-22,29903.01,29983.99,29795.66,29821.24,0,0.0,1.0
2023-07-23,29821.24,30343.49,29619.1,30137.49,0,0.0,1.0
2023-07-24,30137.49,30137.49,28861.23,29143.15,0,0.0,1.0
2023-07-25,29143.15,29367.43,29041.66,29223.84,0,0.0,1.0
2023-07-26,29223.84,29679.24,29090.94,29572.09,0,0.0,1.0
2023-07-27,29572.09,29652.35,29077.85,29138.56,0,0.0,1.0
2023-07-28,29138.56,29536.21,29119.99,29332.47,0,0.0,1.0
2023-07-29,29287.98,29400.91,29250.18,29349.23,0,0.0,1.0
2023-07-30,29349.23,29442.99,29031.99,29264.95,0,0.0,1.0
2023-07-31,29264.95,29523.99,29104.99,29202.27,0,0.0,1.0
2023-08-01,29202.27,29341.15,28579.7,29223.74,0,0.0,1.0
2023-08-02,29223.74,30035.27,28922.0,29131.45,0,0.0,1.0
2023-08-03,29131.45,29427.32,28962.0,29297.99,0,0.0,1.0
2023-08-04,29297.99,29331.99,28813.99,28961.5,0,0.0,1.0
2023-08-05,29050.67,29146.22,29003.37,29047.72,0,0.0,1.0
2023-08-06,29047.72,29163.84,28985.88,29129.77,0,0.0,1.0
2023-08-07,29129.77,29223.61,28698.21,29192.99,0,0.0,1.0
2023-08-08,29192.99,29992.07,29129.83,29973.99,0,0.0,1.0
2023-08-09,29973.99,30216.65,29370.99,29494.32,0,0.0,1.0
2023-08-10,29494.32,29731.99,29332.91,29447.44,0,0.0,1.0
2023-08-11,29447.44,29558.51,29246.45,29414.21,0,0.0,1.0
2023-08-12,29428.56,29475.34,29375.56,29414.38,0,0.0,1.0
2023-08-13,29414.38,29468.64,29322.21,29414.0,0,0.0,1.0
2023-08-14,29414.0,29689.31,29096.46,29394.82,0,0.0,1.0
2023-08-15,29394.82,29492.0,29069.99,29192.99,0,0.0,1.0
2023-08-16,29192.99,29253.84,28834.9,28968.0,0,0.0,1.0
2023-08-17,28968.0,28971.76,27526.0,27671.13,0,0.0,1.0
2023-08-18,27671.13,27731.82,25160.01,26078.77,0,0.0,1.0
2023-08-19,25961.26,26274.0,25795.09,26050.77,0,0.0,1.0
2023-08-20,26050.77,26292.99,25967.98,26226.98,0,0.0,1.0
2023-08-21,26226.98,26237.47,25807.21,26099.6,0,0.0,1.0
2023-08-22,26099.6,26246.11,25721.29,25859.0,0,0.0,1.0
2023-08-23,25859.0,26814.26,25330.29,26588.59,0,0.0,1.0
2023-08-24,26588.59,26618.0,25860.89,26026.98,0,0.0,1.0
2023-08-25,26026.98,26232.91,25775.0,26055.84,0,0.0,1.0
2023-08-26,26041.26,26116.66,25983.05,26027.37,0,0.0,1.0
2023-08-27,26027.37,26177.22,25961.11,26086.49,0,0.0,1.0
2023-08-28,26086.49,26248.98,25865.17,25988.03,0,0.0,1.0
2023-08-29,25988.03,28126.66,25917.0,27564.27,0,0.0,1.0
2023-08-30,27564.27,27771.98,27013.82,27245.15,0,0.0,1.0
2023-08-31,27245.15,27581.17,25926.99,26017.6,0,0.0,1.0
2023-09-01,26017.6,26149.6,25329.0,25771.61,0,0.0,1.0
2023-09-02,25891.28,25932.9,25758.2,25843.98,0,0.0,1.0
2023-09-03,25843.98,26128.23,25795.0,26043.17,0,0.0,1.0
2023-09-04,26043.17,26101.16,25717.75,25831.67,0,0.0,1.0
2023-09-05,25831.67,25897.03,25559.0,25709.4,0,0.0,1.0
2023-09-06,25709.4,26030.63,25367.5,25676.37,0,0.0,1.0
2023-09-07,25676.37,26018.53,25635.32,26001.24,0,0.0,1.0
2023-09-08,26001.24,26440.49,25642.95,25903.81,0,0.0,1.0
2023-09-09,25900.9,25937.0,25789.05,25853.37,0,0.0,1.0
2023-09-10,25851.99,25912.46,25574.53,25812.23,0,0.0,1.0
2023-09-11,25812.4,26019.88,24896.0,25082.55,0,0.0,1.0
2023-09-12,25079.84,26542.19,25062.0,26067.24,0,0.0,1.0
2023-09-13,26067.28,26405.98,25757.73,26218.69,0,0.0,1.0
2023-09-14,26219.23,26849.1,26123.63,26572.61,0,0.0,1.0
2023-09-15,26571.59,26684.49,26219.0,26410.77,0,0.0,1.0
2023-09-16,26789.16,26841.77,26448.19,26528.61,0,0.0,1.0
2023-09-17,26528.27,26620.14,26423.95,26436.33,0,0.0,1.0
2023-09-18,26433.51,27419.26,26383.57,26767.95,0,0.0,1.0
2023-09-19,26766.44,27495.3,26665.38,27188.44,0,0.0,1.0
2023-09-20,27189.4,27389.17,26795.86,27092.62,0,0.0,1.0
2023-09-21,27093.2,27235.79,26358.05,26598.44,0,0.0,1.0
2023-09-22,26598.44,26733.91,26465.02,26530.51,0,0.0,1.0
2023-09-23,26530.42,26633.54,26522.38,26586.05,0,0.0,1.0
2023-09-24,26586.07,26725.13,26335.82,26500.3,0,0.0,1.0
2023-09-25,26497.84,26520.81,25979.17,26280.46,0,0.0,1.0
2023-09-26,26279.89,26387.39,26075.48,26142.83,0,0.0,1.0
2023-09-27,26147.34,26824.54,26079.77,26234.71,0,0.0,1.0
2023-09-28,26233.99,27306.75,26222.95,27083.57,0,0.0,1.0
2023-09-29,27083.9,27232.4,26670.12,26900.35,0,0.0,1.0
2023-09-30,26879.75,27089.98,26868.87,27059.14,0,0.0,1.0
2023-10-01,27059.14,27284.07,26941.73,27104.74,0,0.0,1.0
2023-10-02,27104.74,28595.29,27086.78,27834.45,0,0.0,1.0
2023-10-03,27837.47,27871.29,27164.33,27393.54,0,0.0,1.0
2023-10-04,27393.54,27835.98,27205.84,27641.97,0,0.0,1.0
2023-10-05,27642.11,28126.32,27353.44,27473.18,0,0.0,1.0
2023-10-06,27471.43,28063.82,27167.91,27990.35,0,0.0,1.0
2023-10-07,27919.4,28036.23,27867.54,27936.19,0,0.0,1.0
2023-10-08,27936.3,28103.31,27706.02,27922.12,0,0.0,1.0
2023-10-09,27920.37,27998.0,27264.02,27573.21,0,0.0,1.0
2023-10-10,27568.2,27732.92,27287.07,27400.03,0,0.0,1.0
2023-10-11,27398.29,27473.99,26516.72,26705.77,0,0.0,1.0
2023-10-12,26705.78,26933.98,26538.59,26734.47,0,0.0,1.0
2023-10-13,26734.47,27052.09,26656.72,26970.56,0,0.0,1.0
2023-10-14,26831.02,26981.94,26763.95,26844.25,0,0.0,1.0
2023-10-15,26845.15,27226.32,26791.56,27202.15,0,0.0,1.0
2023-10-16,27203.55,29995.38,27052.45,28411.14,0,0.0,1.0
2023-10-17,28415.88,28628.14,28082.56,28449.5,0,0.0,1.0
2023-10-18,28449.67,28982.11,28146.99,28247.3,0,0.0,1.0
2023-10-19,28247.3,28900.66,28104.99,28710.38,0,0.0,1.0
2023-10-20,28710.38,30234.28,28587.29,29597.07,0,0.0,1.0
2023-10-21,29640.07,30360.07,29470.4,30029.67,0,0.0,1.0
2023-10-22,30029.52,30259.23,29665.0,29858.95,0,0.0,1.0
2023-10-23,29856.56,31821.03,29714.53,31535.89,0,0.0,1.0
2023-10-24,31536.46,35142.88,31431.04,33635.99,0,0.0,1.0
2023-10-25,33642.93,35132.82,33343.58,34677.65,0,0.0,1.0
2023-10-26,34672.91,34836.58,33731.37,34186.97,0,0.0,1.0
2023-10-27,34186.68,34284.06,33396.0,33823.6,0,0.0,1.0
2023-10-28,34052.56,34486.99,33925.02,34121.1,0,0.0,1.0
2023-10-29,34121.1,34744.99,33925.0,34568.45,0,0.0,1.0
2023-10-30,34568.45,34850.99,34062.82,34409.95,0,0.0,1.0
2023-10-31,34412.7,34704.99,34021.01,34627.65,0,0.0,1.0
2023-11-01,34627.65,35490.23,34077.23,35431.41,0,0.0,1.0
2023-11-02,35432.2,35970.93,34307.12,34909.72,0,0.0,1.0
2023-11-03,34907.81,34974.2,34115.0,34588.89,0,0.0,1.0
2023-11-04,34710.32,34994.99,34580.18,34749.84,0,0.0,1.0
2023-11-05,34749.84,35294.99,34443.01,34640.92,0,0.0,1.0
2023-11-06,34640.92,35360.95,34621.43,35014.99,0,0.0,1.0
2023-11-07,35014.99,35955.9,34532.68,35496.49,0,0.0,1.0
2023-11-08,35496.49,35924.57,35104.67,35588.29,0,0.0,1.0
2023-11-09,35586.54,37978.85,35550.55,36533.14,0,0.0,1.0
2023-11-10,36532.01,37463.34,36333.15,37285.67,0,0.0,1.0
2023-11-11,37093.93,37292.68,36917.7,36984.48,0,0.0,1.0
2023-11-12,36983.37,37234.07,36725.02,37167.71,0,0.0,1.0
2023-11-13,37167.71,37425.47,36351.82,36480.72,0,0.0,1.0
2023-11-14,36480.72,36753.08,34774.17,35579.08,0,0.0,1.0
2023-11-15,35579.16,37878.35,35356.97,37645.43,0,0.0,1.0
2023-11-16,37645.43,37974.69,35506.51,35957.26,0,0.0,1.0
2023-11-17,35957.26,36707.45,35864.39,36409.58,0,0.0,1.0
2023-11-18,36621.39,36852.53,36200.39,36557.74,0,0.0,1.0
2023-11-19,36557.74,37084.84,36399.91,36999.85,0,0.0,1.0
2023-11-20,36999.85,37772.51,36715.39,37425.19,0,0.0,1.0
2023-11-21,37421.19,37668.72,36259.85,36845.99,0,0.0,1.0
2023-11-22,36850.55,37867.58,35643.88,37626.87,0,0.0,1.0
2023-11-23,37626.87,37767.17,36890.96,37250.07,0,0.0,1.0
2023-11-24,37250.07,38435.68,37210.48,37857.2,0,0.0,1.0
2023-11-27,37623.83,37754.95,36719.27,37028.48,0,0.0,1.0
2023-11-28,37028.48,38419.49,36871.09,37956.5,0,0.0,1.0
2023-11-29,37956.5,38453.42,37594.07,37737.23,0,0.0,1.0
2023-11-30,37737.23,38143.89,37495.39,37742.84,0,0.0,1.0
2023-12-01,37742.84,38995.37,37607.39,38789.0,0,0.0,1.0
2023-12-02,38739.15,39722.26,38672.01,39577.26,0,0.0,1.0
2023-12-03,39571.78,39841.36,39288.41,39722.81,0,0.0,1.0
2023-12-04,39721.01,42155.31,39697.76,42030.53,0,0.0,1.0
2023-12-05,42029.62,44209.93,41381.76,43897.19,0,0.0,1.0
2023-12-06,43890.35,44503.21,43364.39,43820.07,0,0.0,1.0
2023-12-07,43818.88,44049.9,42841.91,43380.86,0,0.0,1.0
2023-12-08,43380.86,44745.45,43084.52,44548.37,0,0.0,1.0
2023-12-09,44157.32,44370.11,43744.39,43977.52,0,0.0,1.0
2023-12-10,43977.68,44044.91,43585.74,43797.66,0,0.0,1.0
2023-12-11,43797.71,43891.95,40173.26,41162.07,0,0.0,1.0
2023-12-12,41162.07,42077.83,40638.08,41081.09,0,0.0,1.0
2023-12-13,41081.09,43169.36,40595.77,42987.06,0,0.0,1.0
2023-12-14,42988.71,43458.39,41555.85,42988.75,0,0.0,1.0
2023-12-15,42989.16,43187.77,41653.2,42230.56,0,0.0,1.0
2023-12-16,41929.43,42672.03,41626.35,42270.39,0,0.0,1.0
2023-12-17,42270.39,42362.37,41496.24,41875.42,0,0.0,1.0
2023-12-18,41875.42,42743.48,40503.39,42611.28,0,0.0,1.0
2023-12-19,42611.28,43447.82,41777.48,42494.04,0,0.0,1.0
2023-12-20,42494.38,44320.31,42177.97,43449.9,0,0.0,1.0
2023-12-21,43450.02,44245.38,43291.17,43999.49,0,0.0,1.0
2023-12-22,43999.43,44416.34,43412.53,43736.11,0,0.0,1.0
2023-12-23,44008.52,44028.15,43329.69,43802.82,0,0.0,1.0
2023-12-24,43802.82,43976.49,43430.01,43519.58,0,0.0,1.0
2023-12-26,43521.9,43730.66,41613.35,42318.18,0,0.0,1.0
2023-12-27,42339.14,43555.83,42107.37,43361.19,0,0.0,1.0
2023-12-28,43364.99,43782.56,42283.6,42450.61,0,0.0,1.0
2023-12-29,42449.0,43105.99,41659.32,41931.22,0,0.0,1.0
2023-12-30,42061.94,42606.52,41517.84,42300.07,0,0.0,1.0
2023-12-31,42300.07,42893.99,41983.77,42515.72,0,0.0,1.0
2024-01-02,43614.21,45874.62,43366.39,45114.74,0,0.0,1.0
2024-01-03,45116.5,45494.99,40860.78,42912.61,0,0.0,1.0
2024-01-04,42918.01,44623.0,42586.09,44425.85,0,0.0,1.0
2024-01-05,44425.85,44724.19,42597.16,43943.0,0,0.0,1.0
2024-01-06,44146.09,44209.41,43392.99,43884.42,0,0.0,1.0
2024-01-07,43884.42,44475.58,43715.23,44226.53,0,0.0,1.0
2024-01-08,44226.53,47232.45,43172.18,47066.41,0,0.0,1.0
2024-01-09,47066.41,47963.99,44902.24,45425.12,0,0.0,1.0
2024-01-10,45434.44,46660.99,44296.11,45936.06,0,0.0,1.0
2024-01-11,45941.0,48952.93,45612.99,46151.0,0,0.0,1.0
2024-01-12,46151.0,46510.52,43210.99,43447.0,0,0.0,1.0
2024-01-13,42777.73,43251.0,42431.12,42958.44,0,0.0,1.0
2024-01-14,42958.44,43072.99,41995.0,42549.89,0,0.0,1.0
2024-01-15,42549.89,43395.0,41713.05,42709.3,0,0.0,1.0
2024-01-16,42710.99,43572.73,42054.0,43429.7,0,0.0,1.0
2024-01-17,43429.7,43491.04,42202.55,42671.13,0,0.0,1.0
2024-01-18,42671.13,42924.75,40678.28,41118.99,0,0.0,1.0
2024-01-19,41118.99,42143.48,40247.17,41591.61,0,0.0,1.0
2024-01-21,41693.61,41851.7,41505.39,41756.05,0,0.0,1.0
2024-01-22,41756.05,41761.92,39367.83,39803.5,0,0.0,1.0
2024-01-23,39805.28,40135.46,38500.56,39183.39,0,0.0,1.0
2024-01-24,39182.61,40522.75,39157.61,39768.08,0,0.0,1.0
2024-01-25,39774.33,40277.12,39501.95,39899.74,0,0.0,1.0
2024-01-26,39899.95,42231.35,39801.2,41982.57,0,0.0,1.0
2024-01-27,41863.58,42169.15,41380.73,42145.83,0,0.0,1.0
2024-01-28,42145.83,42827.52,41675.26,41961.63,0,0.0,1.0
2024-01-29,41961.93,43315.28,41612.92,43178.94,0,0.0,1.0
2024-01-30,43178.96,43857.34,43072.56,43539.28,0,0.0,1.0
2024-01-31,43539.28,43734.26,42261.15,42458.03,0,0.0,1.0
2024-02-01,42455.25,43270.95,41845.39,43076.46,0,0.0,1.0
2024-02-02,43076.46,43447.58,42522.89,42972.65,0,0.0,1.0
2024-02-03,43177.38,43353.69,42857.39,43026.93,0,0.0,1.0
2024-02-04,43025.74,43094.35,42525.89,42752.26,0,0.0,1.0
2024-02-05,42752.3,43510.75,42223.41,42322.24,0,0.0,1.0
2024-02-06,42322.24,43362.39,42272.61,43155.94,0,0.0,1.0
2024-02-07,43155.94,44405.16,42755.83,44200.11,0,0.0,1.0
2024-02-08,44198.51,45629.74,44122.23,45330.36,0,0.0,1.0
2024-02-09,45330.36,48221.4,45235.39,47536.32,0,0.0,1.0
2024-02-10,47175.27,48171.79,46886.54,47950.77,0,0.0,1.0
2024-02-11,47951.3,48609.38,47585.5,48132.07,0,0.0,1.0
2024-02-12,48133.69,50353.71,47711.06,49844.16,0,0.0,1.0
2024-02-13,49841.58,50393.41,48324.2,49564.0,0,0.0,1.0
2024-02-14,49564.19,52102.38,49248.57,51771.1,0,0.0,1.0
2024-02-15,51775.98,52861.36,51349.04,51358.02,0,0.0,1.0
2024-02-16,51357.92,52603.58,51352.27,52010.94,0,0.0,1.0
2024-02-17,51963.7,52079.96,50637.73,51803.25,0,0.0,1.0
2024-02-18,51803.25,52073.09,51179.95,51871.25,0,0.0,1.0
2024-02-19,51871.25,52496.39,51683.11,51898.52,0,0.0,1.0
2024-02-20,51898.76,52992.77,50759.4,52030.41,0,0.0,1.0
2024-02-21,52030.44,52538.96,50631.95,51392.09,0,0.0,1.0
2024-02-22,51392.33,52064.61,50901.04,51644.17,0,0.0,1.0
2024-02-23,51645.13,51705.44,50619.53,50967.93,0,0.0,1.0
2024-02-24,50740.09,51688.45,50571.63,51555.48,0,0.0,1.0
2024-02-25,51555.48,51959.75,51270.39,51763.58,0,0.0,1.0
2024-02-26,51763.58,54969.4,50898.28,54653.65,0,0.0,1.0
2024-02-27,54657.06,57621.78,54483.32,56734.57,0,0.0,1.0
2024-02-28,56732.62,64084.02,56664.88,60545.45,0,0.0,1.0
2024-02-29,60545.45,63671.34,60365.66,61369.94,0,0.0,1.0
2024-03-01,61369.94,63109.22,60682.17,62515.46,0,0.0,1.0
2024-03-04,62851.77,67808.74,62714.49,67408.44,0,0.0,1.0
2024-03-05,67398.96,69282.54,59104.84,63242.34,0,0.0,1.0
2024-03-06,63245.94,67674.24,62452.84,66417.94,0,0.0,1.0
2024-03-07,66417.94,67935.24,65552.14,67242.24,0,0.0,1.0
2024-03-08,67244.24,70240.89,66067.24,68160.86,0,0.0,1.0
2024-03-09,68121.44,68542.84,67852.34,68373.24,0,0.0,1.0
2024-03-10,68373.24,69870.04,68203.68,69314.04,0,0.0,1.0
2024-03-11,69314.04,72825.04,66943.34,72128.84,0,0.0,1.0
