date,open,high,low,close,volume,dividend,split
2022-06-01,1.0733,1.07386,1.06264,1.06507,0,0.0,1.0
2022-06-02,1.06452,1.07497,1.06407,1.0748,0,0.0,1.0
2022-06-03,1.0744,1.07639,1.07037,1.0718,0,0.0,1.0
2022-06-06,1.0713300000000001,1.07513,1.06835,1.0695000000000001,0,0.0,1.0
2022-06-07,1.06955,1.07137,1.06517,1.0705,0,0.0,1.0
2022-06-08,1.06994,1.07479,1.0671,1.07158,0,0.0,1.0
2022-06-09,1.07155,1.07734,1.06106,1.06185,0,0.0,1.0
2022-06-10,1.06156,1.06417,1.05053,1.05178,0,0.0,1.0
2022-06-13,1.0514000000000001,1.05195,1.03992,1.04077,0,0.0,1.0
2022-06-14,1.0407,1.04842,1.03964,1.04164,0,0.0,1.0
2022-06-15,1.0415,1.05072,1.03584,1.04456,0,0.0,1.0
2022-06-16,1.04394,1.06008,1.03803,1.05512,0,0.0,1.0
2022-06-17,1.05465,1.05603,1.0444,1.04946,0,0.0,1.0
2022-06-20,1.0476,1.05453,1.0473,1.05103,0,0.0,1.0
2022-06-21,1.05104,1.05821,1.05032,1.05345,0,0.0,1.0
2022-06-22,1.05256,1.06053,1.04683,1.05679,0,0.0,1.0
2022-06-23,1.05644,1.05806,1.04822,1.05203,0,0.0,1.0
2022-06-24,1.05167,1.05707,1.05117,1.05547,0,0.0,1.0
2022-06-27,1.05461,1.06143,1.05371,1.05814,0,0.0,1.0
2022-06-28,1.05814,1.06057,1.05027,1.05205,0,0.0,1.0
2022-06-29,1.05174,1.0535,1.04345,1.04412,0,0.0,1.0
2022-06-30,1.04385,1.04879,1.0382,1.04823,0,0.0,1.0
2022-07-01,1.04834,1.04847,1.03651,1.0424,0,0.0,1.0
2022-07-04,1.04132,1.04623,1.04053,1.04219,0,0.0,1.0
2022-07-05,1.04146,1.04483,1.02347,1.02645,0,0.0,1.0
2022-07-06,1.02647,1.02761,1.0161,1.01845,0,0.0,1.0
2022-07-07,1.01808,1.02206,1.01437,1.01608,0,0.0,1.0
2022-07-08,1.01552,1.01909,1.00712,1.01842,0,0.0,1.0
2022-07-11,1.01745,1.01833,1.00332,1.00389,0,0.0,1.0
2022-07-12,1.00387,1.00732,0.99994,1.00367,0,0.0,1.0
2022-07-13,1.00341,1.01215,0.99974,1.00577,0,0.0,1.0
2022-07-14,1.00546,1.00587,0.99518,1.002,0,0.0,1.0
2022-07-15,1.0012,1.00974,1.00065,1.00869,0,0.0,1.0
2022-07-18,1.00819,1.02008,1.00715,1.01438,0,0.0,1.0
2022-07-19,1.01405,1.02686,1.0119,1.02249,0,0.0,1.0
2022-07-20,1.02222,1.02729,1.0155,1.01801,0,0.0,1.0
2022-07-21,1.01743,1.02774,1.01528,1.02297,0,0.0,1.0
2022-07-22,1.02281,1.02547,1.01292,1.0213700000000001,0,0.0,1.0
2022-07-25,1.02122,1.02574,1.01778,1.02216,0,0.0,1.0
2022-07-26,1.02194,1.02498,1.01071,1.01162,0,0.0,1.0
2022-07-27,1.01146,1.022,1.00958,1.01985,0,0.0,1.0
2022-07-28,1.02009,1.02339,1.01135,1.01954,0,0.0,1.0
2022-07-29,1.01966,1.02539,1.01454,1.02257,0,0.0,1.0
2022-08-01,1.0211,1.0275,1.02051,1.026,0,0.0,1.0
2022-08-02,1.02594,1.02934,1.01629,1.01653,0,0.0,1.0
2022-08-03,1.01649,1.02099,1.01221,1.01686,0,0.0,1.0
2022-08-04,1.01628,1.02532,1.01538,1.02461,0,0.0,1.0
