date,open,high,low,close,volume,dividend,split
2022-06-01,1.25994,1.2616,1.24579,1.2484,0,0.0,1.0
2022-06-02,1.24816,1.2586,1.24685,1.25767,0,0.0,1.0
2022-06-03,1.25758,1.25891,1.24848,1.24862,0,0.0,1.0
2022-06-06,1.24876,1.25769,1.24758,1.25281,0,0.0,1.0
2022-06-07,1.25299,1.2598799999999999,1.24296,1.25904,0,0.0,1.0
2022-06-08,1.25876,1.25968,1.25126,1.25353,0,0.0,1.0
2022-06-09,1.25306,1.25579,1.24866,1.24947,0,0.0,1.0
2022-06-10,1.24918,1.25169,1.23005,1.23094,0,0.0,1.0
2022-06-13,1.23143,1.23193,1.21061,1.21288,0,0.0,1.0
2022-06-14,1.21314,1.22073,1.19333,1.19961,0,0.0,1.0
2022-06-15,1.1994799999999999,1.2204,1.19815,1.21722,0,0.0,1.0
2022-06-16,1.21747,1.24059,1.2039900000000001,1.23517,0,0.0,1.0
2022-06-17,1.23529,1.23596,1.21721,1.2211,0,0.0,1.0
2022-06-20,1.22138,1.22797,1.21981,1.22473,0,0.0,1.0
2022-06-21,1.2247,1.23236,1.22365,1.22791,0,0.0,1.0
2022-06-22,1.2264599999999999,1.2314,1.21605,1.2261199999999999,0,0.0,1.0
2022-06-23,1.22588,1.22939,1.21692,1.2259,0,0.0,1.0
2022-06-24,1.2252,1.23199,1.2240199999999999,1.22727,0,0.0,1.0
2022-06-27,1.2273399999999999,1.23318,1.22374,1.22645,0,0.0,1.0
2022-06-28,1.2264599999999999,1.22909,1.21798,1.21834,0,0.0,1.0
2022-06-29,1.2182,1.22125,1.2105,1.21228,0,0.0,1.0
2022-06-30,1.21185,1.21879,1.21067,1.21772,0,0.0,1.0
2022-07-01,1.21707,1.21768,1.19752,1.20868,0,0.0,1.0
2022-07-04,1.20951,1.21648,1.20841,1.2099199999999999,0,0.0,1.0
2022-07-05,1.21064,1.21248,1.18978,1.19573,0,0.0,1.0
2022-07-06,1.19352,1.19892,1.18752,1.19217,0,0.0,1.0
2022-07-07,1.19218,1.20292,1.19083,1.20233,0,0.0,1.0
