date,open,high,low,close,volume,dividend,split
2022-06-01,128.592,130.183,128.59,130.153,0,0.0,1.0
2022-06-02,130.088,130.233,129.504,129.865,0,0.0,1.0
2022-06-03,129.789,130.976,129.675,130.817,0,0.0,1.0
2022-06-06,130.857,132.004,130.426,131.877,0,0.0,1.0
2022-06-07,131.85,132.995,131.841,132.627,0,0.0,1.0
2022-06-08,132.538,134.466,132.525,134.246,0,0.0,1.0
2022-06-09,134.222,134.549,133.176,134.37,0,0.0,1.0
2022-06-10,134.315,134.478,133.356,134.319,0,0.0,1.0
2022-06-13,134.319,135.191,133.586,134.405,0,0.0,1.0
2022-06-14,134.41,135.45,133.866,135.446,0,0.0,1.0
2022-06-15,135.456,135.581,133.497,133.795,0,0.0,1.0
2022-06-16,133.816,134.673,131.482,132.208,0,0.0,1.0
2022-06-17,132.161,135.419,132.149,134.936,0,0.0,1.0
2022-06-20,134.919,135.438,134.525,135.094,0,0.0,1.0
2022-06-21,134.987,136.704,134.899,136.654,0,0.0,1.0
2022-06-22,136.606,136.703,135.674,136.217,0,0.0,1.0
2022-06-23,136.242,136.247,134.251,134.955,0,0.0,1.0
2022-06-24,134.94,135.392,134.346,135.203,0,0.0,1.0
2022-06-27,135.112,135.546,134.516,135.475,0,0.0,1.0
2022-06-28,135.422,136.377,135.106,136.154,0,0.0,1.0
2022-06-29,136.074,136.995,135.764,136.602,0,0.0,1.0
2022-06-30,136.574,136.804,135.544,135.752,0,0.0,1.0
2022-07-01,135.706,135.979,134.735,135.246,0,0.0,1.0
2022-07-04,135.293,135.769,134.778,135.691,0,0.0,1.0
2022-07-05,135.508,136.357,135.243,135.867,0,0.0,1.0
2022-07-06,135.724,135.997,134.942,135.905,0,0.0,1.0
2022-07-07,135.914,136.213,135.544,135.994,0,0.0,1.0
2022-07-08,135.972,136.56,135.321,136.079,0,0.0,1.0
2022-07-11,135.961,137.747,135.892,137.414,0,0.0,1.0
2022-07-12,137.423,137.529,136.467,136.867,0,0.0,1.0
2022-07-13,136.863,137.86,136.685,137.43,0,0.0,1.0
2022-07-14,137.24,139.385,137.13,138.918,0,0.0,1.0
2022-07-15,138.937,139.12,138.377,138.511,0,0.0,1.0
2022-07-18,138.538,138.563,137.877,138.126,0,0.0,1.0
2022-07-19,138.118,138.387,137.375,138.188,0,0.0,1.0
2022-07-20,138.174,138.366,137.896,138.248,0,0.0,1.0
2022-07-21,138.117,138.871,137.286,137.333,0,0.0,1.0
2022-07-22,137.338,137.949,135.553,136.068,0,0.0,1.0
2022-07-25,136.111,136.782,135.884,136.64,0,0.0,1.0
2022-07-26,136.648,136.959,136.27,136.925,0,0.0,1.0
2022-07-27,136.822,137.455,136.314,136.597,0,0.0,1.0
2022-07-28,136.473,136.573,134.192,134.225,0,0.0,1.0
2022-07-29,134.242,134.671,132.491,133.214,0,0.0,1.0
2022-08-01,133.224,133.554,131.59,131.601,0,0.0,1.0
2022-08-02,131.6,133.155,130.386,133.142,0,0.0,1.0
2022-08-03,133.163,134.543,132.277,133.853,0,0.0,1.0
2022-08-04,133.839,134.417,132.757,132.956,0,0.0,1.0
2022-08-05,132.854,135.495,132.512,135.011,0,0.0,1.0
2022-08-08,135.032,135.579,134.338,135.03,0,0.0,1.0
2022-08-09,134.834,135.196,134.662,135.14,0,0.0,1.0
2022-08-10,134.963,135.298,132.022,132.861,0,0.0,1.0
2022-08-11,132.872,133.306,131.722,132.973,0,0.0,1.0
2022-08-12,132.981,133.886,132.867,133.369,0,0.0,1.0
2022-08-15,133.415,133.589,132.545,133.297,0,0.0,1.0
2022-08-16,133.304,134.68,132.945,134.232,0,0.0,1.0
2022-08-17,134.153,135.494,133.9,135.057,0,0.0,1.0
2022-08-18,134.961,135.895,134.642,135.876,0,0.0,1.0
